OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
199600,2011,"0 to 30,000",4707
112200,2011,"0 to 30,000",22389
101200,2011,"0 to 30,000",14786
3668300,2011,"0 to 30,000",NULL
3612300,2011,"0 to 30,000",NULL
103000,2011,"0 to 30,000",3027
298800,2011,"0 to 30,000",5852
4163700,2011,"0 to 30,000",7243
4130800,2011,"0 to 30,000",5676
2541900,2011,"0 to 30,000",4624
163800,2011,"0 to 30,000",4988
2137100,2011,"0 to 30,000",6616
345900,2011,"0 to 30,000",11028
2052200,2011,"0 to 30,000",6789
163900,2011,"0 to 30,000",11187
2510600,2011,"0 to 30,000",9128
539000,2011,"0 to 30,000",6433
1218700,2011,"0 to 30,000",NULL
798700,2011,"0 to 30,000",3627
3027200,2011,"0 to 30,000",11252
4003300,2011,"0 to 30,000",22964
NULL,2011,"0 to 30,000",NULL
621401,2011,"0 to 30,000",NULL
621402,2011,"0 to 30,000",NULL
621403,2011,"0 to 30,000",NULL
354900,2011,"0 to 30,000",5406
259700,2011,"0 to 30,000",14845
331500,2011,"0 to 30,000",11596
3783300,2011,"0 to 30,000",23292
3422601,2011,"0 to 30,000",19150
3422501,2011,"0 to 30,000",21413
3525300,2011,"0 to 30,000",22347
3294301,2011,"0 to 30,000",17401
3422600,2011,"0 to 30,000",18893
3294300,2011,"0 to 30,000",17526
3422500,2011,"0 to 30,000",21474
552300,2011,"0 to 30,000",24913
239800,2011,"0 to 30,000",8506
318600,2011,"0 to 30,000",7574
3957300,2011,"0 to 30,000",8017
968400,2011,"0 to 30,000",5611
681900,2011,"0 to 30,000",5632
3925300,2011,"0 to 30,000",15691
3704300,2011,"0 to 30,000",19214
370300,2011,"0 to 30,000",17977
380900,2011,"0 to 30,000",10792
524400,2011,"0 to 30,000",5937
301600,2011,"0 to 30,000",17254
002440A1  ,2011,"0 to 30,000",NULL
342100,2011,"0 to 30,000",15692
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",18921
NULL,2011,"0 to 30,000",NULL
2234500,2011,"0 to 30,000",15910
161600,2011,"0 to 30,000",9296
3763400,2011,"0 to 30,000",8620
1004300,2011,"0 to 30,000",NULL
2358500,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
1302900,2011,"0 to 30,000",21594
4137200,2011,"0 to 30,000",12355
NULL,2011,"0 to 30,000",NULL
2055400,2011,"0 to 30,000",7075
396600,2011,"0 to 30,000",24881
3248300,2011,"0 to 30,000",14196
212800,2011,"0 to 30,000",13128
