2479,2012,219,1055,20.7,A
25889,2012,139,797,17.4,A
3784,2012,104,613,16.9,A
5223,2012,119,612,19.4,P
2240,2012,130,543,23.9,A
2355,2012,162,660,24.5,A
41414,2012,60,250,24,A
41113,2012,24,125,19.2,A
34567,2012,11,71,15.4,A
30893,2012,17,84,20.2,B
21884,2012,8,84,9.5,A
35614,2012,6,38,15.7,B
41602,2012,1,15,6.6,B
4920,2012,796,4193,18.9,P
40386,2012,201,983,20.4,P
1223,2012,147,597,24.6,A
41265,2012,26,55,47.2,A
34684,2012,9,46,19.5,A
10633,2012,1961,8795,22.2,A
1619,2012,712,3436,20.7,P
1233,2012,287,1237,23.2,A
10487,2012,44,213,20.6,P
1015,2012,116,499,23.2,A
2263,2012,55,280,19.6,A
7096,2012,15,108,13.8,A
22695,2012,9,121,7.4,A
7287,2012,22,104,21.1,A
4910,2012,402,1605,25,A
7582,2012,180,1096,16.4,A
2915,2012,37,172,21.5,A
10736,2012,150,674,22.2,A
5618,2012,3,13,23,B
1648,2012,35,200,17.5,A
8552,2012,19,100,19,A
22208,2012,1,7,14.2,B
38193,2012,3315,14184,23.3,A
2405,2012,471,2252,20.9,A
9618,2012,418,1948,21.4,A
1493,2012,261,1376,18.9,A
4453,2012,128,687,18.6,A
2664,2012,165,668,24.7,A
21802,2012,111,483,22.9,A
7950,2012,41,179,22.9,A
32103,2012,1191,5043,23.6,A
10345,2012,1081,5217,20.7,P
1865,2012,485,2183,22.2,P
4666,2012,316,1977,15.9,A
40373,2012,219,1275,17.1,A
12105,2012,250,960,26,P
5380,2012,166,1042,15.9,A
3994,2012,136,740,18.3,A
11166,2012,162,790,20.5,A
12750,2012,134,678,19.7,A
1199,2012,54,400,13.5,A
3453,2012,81,394,20.5,A
22456,2012,30,114,26.3,A
36276,2012,27,200,13.5,A
9600,2012,10,40,25,A
8873,2012,6,59,10.1,A
10460,2012,4,31,12.9,B
10632,2012,15,87,17.2,A
10111,2012,15,66,22.7,B
41926,2012,4,10,40,B
23531,2012,6,34,17.6,A
7900,2012,13,78,16.6,B
20561,2012,11,81,13.5,B
3759,2012,240,1458,16.4,P
22898,2012,343,1498,22.8,A
5387,2012,220,1022,21.5,P
8510,2012,122,656,18.5,A
1368,2012,78,385,20.2,A
12064,2012,62,261,23.7,A
2278,2012,1591,6383,24.9,A
3674,2012,1166,4593,25.3,P
3793,2012,522,2406,21.6,P
23410,2012,131,1372,9.5,A
42118,2012,859,3674,23.3,B
21066,2012,131,783,16.7,A
22724,2012,106,485,21.8,A
3220,2012,85,436,19.4,A
31203,2012,109,415,26.2,A
2299,2012,60,384,15.6,A
2151,2012,69,308,22.4,A
36813,2012,36,135,26.6,A
9466,2012,502,2417,20.7,A
25720,2012,212,1645,12.8,A
30306,2012,512,2541,20.1,A
4480,2012,122,664,18.3,A
9795,2012,252,1113,22.6,A
31043,2012,87,483,18,A
1197,2012,71,423,16.7,P
6977,2012,50,253,19.7,A
23363,2012,26,130,20,A
21451,2012,4,31,12.9,A
10861,2012,26,130,20,A
41177,2012,15,103,14.5,A
25204,2012,24,112,21.4,A
7658,2012,21,68,30.8,B
2657,2012,1164,5755,20.2,A
25693,2012,1210,4415,27.4,A
1470,2012,489,2566,19,A
2861,2012,352,1519,23.1,A
3540,2012,306,1498,20.4,P
11167,2012,303,1479,20.4,A
2317,2012,143,574,24.9,A
1901,2012,113,626,18,A
1091,2012,147,733,20,P
5448,2012,19,97,19.5,A
41572,2012,11,55,20,A
41153,2012,13,53,24.5,B
2270,2012,1342,6135,21.8,A
3866,2012,1186,5932,19.9,A
4625,2012,978,5322,18.3,P
2871,2012,387,2071,18.6,A
2430,2012,211,951,22.1,A
3809,2012,172,724,23.7,A
6819,2012,100,517,19.3,A
3501,2012,109,525,20.7,A
3561,2012,69,431,16,A
1282,2012,29,170,17,A
37233,2012,36,171,21,A
41580,2012,20,130,15.3,A
4924,2012,25,99,25.2,A
41402,2012,7,40,17.5,A
26150,2012,476,2136,22.2,A
4507,2012,261,1469,17.7,A
6835,2012,186,794,23.4,A
2936,2012,127,589,21.5,A
10453,2012,113,556,20.3,A
20836,2012,81,485,16.7,A
13016,2012,56,250,22.4,A
3504,2012,58,384,15.1,A
3770,2012,86,382,22.5,A
4988,2012,9,57,15.7,A
23441,2012,11,68,16.1,B
1266,2012,10,53,18.8,A
8955,2012,10,67,14.9,B
6755,2012,4760,26373,18,P
40513,2012,4609,25369,18.1,P
23621,2012,2055,9776,21,A
6867,2012,2627,12290,21.3,A
22187,2012,224,1573,14.2,A
2302,2012,244,1427,17,A
2459,2012,128,694,18.4,A
5624,2012,2,12,16.6,B
8503,2012,63,422,14.9,A
20520,2012,107,524,20.4,A
8596,2012,45,314,14.3,P
8660,2012,14,122,11.4,A
22001,2012,48,115,41.7,A
6973,2012,7,65,10.7,A
12020,2012,7,71,9.8,A
41842,2012,4,23,17.3,B
25183,2012,7,37,18.9,A
