OPEID,DisbursementYear,Average net price (income 0-30 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 30 001-48 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 48 001-75 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 75 001-110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income over 110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV)
111700,2011,19738,21843,23947,27530,32266
NULL,2011,NULL,NULL,NULL,NULL,NULL
1235900,2011,5125,NULL,NULL,NULL,NULL
212100,2011,17275,23006,24140,28909,40418
314700,2011,14775,15109,17570,19048,19700
1107400,2011,2662,3413,5427,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
2622900,2011,NULL,NULL,NULL,NULL,NULL
4081300,2011,4825,3135,7800,8850,NULL
467300,2011,10974,11784,14218,16007,15514
467313,2011,16013,17416,19185,22483,NULL
467317,2011,10804,11778,14021,15914,17177
467305,2011,10500,10696,14152,15577,16273
467301,2011,10859,11553,14557,15774,17942
467302,2011,11275,12039,13991,15289,16867
467309,2011,11825,12079,14570,16401,16692
467303,2011,11343,12167,14616,15761,16519
467304,2011,10550,11255,13404,15709,16016
467306,2011,9863,11258,13674,16481,17352
190300,2011,17477,20122,21003,20321,20616
111800,2011,2609,7966,NULL,NULL,NULL
3110800,2011,NULL,NULL,NULL,NULL,NULL
1226801,2011,11669,11669,11669,NULL,NULL
1226800,2011,10270,10270,NULL,NULL,NULL
3067400,2011,NULL,NULL,NULL,NULL,NULL
301400,2011,14996,15972,18712,21259,22016
178600,2011,7571,9794,15169,18111,18753
206100,2011,5499,6266,7662,8093,4543
3296300,2011,10534,11040,11786,NULL,NULL
NULL,2011,10281,11646,12564,NULL,NULL
2494700,2011,9692,NULL,NULL,NULL,NULL
2337400,2011,11367,9482,14082,NULL,NULL
266900,2011,NULL,NULL,NULL,NULL,NULL
1320800,2011,9239,11149,13796,15560,15560
3105200,2011,13147,15100,17028,16546,16725
660600,2011,NULL,NULL,NULL,NULL,NULL
3440300,2011,10379,16932,17504,16970,21180
2331200,2011,3766,NULL,NULL,NULL,NULL
3116900,2011,NULL,NULL,NULL,NULL,NULL
