OPEID,InstitutionName,PublicPrivate
467303,BAKER COLLEGE OF MUSKEGON,PRIVATE
467304,BAKER COLLEGE OF OWOSSO,PRIVATE
467306,BAKER COLLEGE OF PORT HURON,PRIVATE
190300,BAKER UNIVERSITY,PRIVATE
111800,BAKERSFIELD COLLEGE,PUBLIC
1226801,BALDWIN BEAUTY SCHOOL-NORTH AUSTIN,PRIVATE
1226800,BALDWIN BEAUTY SCHOOL-SOUTH AUSTIN,PRIVATE
3067400,BALDWIN PARK ADULT & COMMUNITY EDUCATION,NULL
301400,BALDWIN WALLACE UNIVERSITY,PRIVATE
178600,BALL STATE UNIVERSITY,PUBLIC
206100,BALTIMORE CITY COMMUNITY COLLEGE,PUBLIC
3296300,BALTIMORE SCHOOL OF MASSAGE-LINTHICUM,PRIVATE
2494700,BALTIMORE STUDIO OF HAIR DESIGN,PRIVATE
2337400,BANCROFT SCHOOL OF MASSAGE THERAPY,PRIVATE
266900,BANK STREET COLLEGE OF EDUCATION,NULL
1320800,BAPTIST BIBLE COLLEGE,PRIVATE
3105200,BAPTIST HEALTH COLLEGE-LITTLE ROCK,PRIVATE
3440300,BAPTIST MEMORIAL COLLEGE OF HEALTH SCIENCES,PRIVATE
2331200,BAPTIST MISSIONARY ASSOCIATION THEOLOGICAL SEMINARY,NULL
3116900,BAPTIST THEOLOGICAL SEMINARY AT RICHMOND,NULL
3733300,BAPTIST UNIVERSITY OF THE AMERICAS,PRIVATE
3010700,BAR PALMA BEAUTY CAREERS ACADEMY,PRIVATE
191700,BARCLAY COLLEGE,PRIVATE
267100,BARD COLLEGE,PRIVATE
964500,BARD COLLEGE AT SIMON''S ROCK,PRIVATE
270800,BARNARD COLLEGE,PRIVATE
638900,BARNES-JEWISH COLLEGE GOLDFARB SCHOOL OF NURSING,NULL
2518900,BARRETT AND COMPANY SCHOOL OF HAIR DESIGN,PRIVATE
146600,BARRY UNIVERSITY,PRIVATE
111900,BARSTOW COMMUNITY COLLEGE,PUBLIC
290800,BARTON COLLEGE,PRIVATE
460800,BARTON COUNTY COMMUNITY COLLEGE,PUBLIC
2242500,BASTYR UNIVERSITY,NULL
203600,BATES COLLEGE,PRIVATE
530600,BATES TECHNICAL COLLEGE,PUBLIC
3730300,BATON ROUGE COMMUNITY COLLEGE,PUBLIC
2335701,BATON ROUGE GENERAL MEDICAL CENTER-SCHOOL OF NURSING,PRIVATE
2335702,BATON ROUGE GENERAL MEDICAL CENTER-SCHOOL OF RADIOLOGIC TECHNOLOGY,PRIVATE
2197500,BATON ROUGE SCHOOL OF COMPUTERS,PRIVATE
1157400,BAUDER COLLEGE,PRIVATE
224000,BAY DE NOC COMMUNITY COLLEGE,PUBLIC
