OPEID,DisbursementYear,NumReceivingFedLoan,PercentReceivingFedLoan,TotalFedLoanAid,AvgFedLoanAid
NULL,2013,61,65,264245,4332
4080300,2013,27,8,161765,5991
2169900,2013,33,73,248854,7541
1212000,2013,NULL,NULL,NULL,
NULL,2013,NULL,NULL,NULL,
2506000,2013,0,0,0,
902200,2013,233,31,1541300,6615
2553500,2013,171,94,1099945,6432
211800,2013,1630,71,11962572,7339
4152700,2013,55,45,174185,3167
4038303,2013,190,97,1805000,9500
4038300,2013,453,93,4756500,10500
4178700,2013,137,58,573762,4188
3544300,2013,0,0,0,
4192200,2013,198,99,1294499,6538
100800,2013,2143,63,11475611,5355
560000,2013,0,0,0,
3740400,2013,153,70,1411685,9227
4160200,2013,10,1,40000,4000
3104500,2013,298,85,1852000,6215
1216500,2013,1194,42,4180302,3501
2580200,2013,118,39,752893,6380
854300,2013,2587,53,17171356,6638
3173300,2013,NULL,NULL,NULL,
2234600,2013,143,56,1085537,7591
259600,2013,1266,17,6605144,5217
3429600,2013,14,78,175000,12500
1226300,2013,0,0,0,
2505400,2013,142,11,141716,998
NULL,2013,NULL,NULL,NULL,
3468500,2013,484,90,2257523,4664
3051400,2013,123,25,705162,5733
100900,2013,7284,36,48996105,6727
831000,2013,2745,65,17021199,6201
233400,2013,2047,71,16940835,8276
4021300,2013,84,68,386909,4606
559900,2013,1353,31,7881514,5825
NULL,2013,3054,52,19224881,6295
163300,2013,1500,59,10329002,6886
345800,2013,1181,66,9730906,8240
3727600,2013,257,62,1946970,7576
3776300,2013,315,70,3491466,11084
648700,2013,264,77,1567473,5937
163400,2013,2151,72,16100826,7485
354300,2013,952,77,7115355,7474
1201500,2013,12223,28,48687855,3983
2362800,2013,20,53,151250,7563
4203500,2013,193,75,947222,4908
347800,2013,5711,59,40411408,7076
354400,2013,NULL,NULL,NULL,
737200,2013,502,85,1735629,3457
2297702,2013,28,15,49215,1758
2297700,2013,184,25,360339,1958
2297701,2013,71,24,139037,1958
2297705,2013,104,39,211000,2029
1162100,2013,377,72,3197996,8483
1162101,2013,351,70,2440576,6953
834300,2013,0,0,0,
4160500,2013,0,0,0,
2258600,2013,216,81,1381208,6394
1085802,2013,213,81,1414622,6641
1085800,2013,390,79,1487217,3813
1085801,2013,285,69,2160627,7581
2519800,2013,82,85,349488,4262
4171700,2013,48,73,315903,6581
3691400,2013,NULL,NULL,NULL,
3941300,2013,496,56,3587696,7233
3837300,2013,141,59,1172849,8318
4155900,2013,115,60,1259217,10950
NULL,2013,NULL,NULL,NULL,
2258400,2013,198,56,1670935,8439
4176700,2013,44,51,374771,8518
4140700,2013,201,64,1695557,8436
4141000,2013,211,64,1482417,7026
4137800,2013,203,49,1564412,7706
2600900,2013,1550,81,9765505,6300
4167100,2013,278,43,2600247,9353
4203300,2013,163,56,1128511,6923
2117800,2013,140,63,1068765,7634
4137801,2013,185,66,1521803,8226
NULL,2013,NULL,NULL,NULL,
2123200,2013,444,42,3103576,6990
4174500,2013,126,51,861629,6838
3839300,2013,197,67,1447774,7349
NULL,2013,NULL,NULL,NULL,
4171400,2013,345,72,2937535,8515
4072300,2013,174,76,1016472,5842
4142300,2013,384,75,3364080,8761
4119400,2013,753,65,5258229,6983
4134800,2013,505,55,3684190,7295
4194500,2013,61,41,535234,8774
987300,2013,63,100,344166,5463
4160700,2013,215,54,1814155,8438
492900,2013,18,90,116504,6472
598700,2013,0,0,0,
370200,2013,660,74,5509555,8348
370200,2013,429,48,4389744,10233
4038400,2013,35,78,289093,8260
NULL,2013,NULL,NULL,NULL,
3523300,2013,405,79,3967559,9796
3126300,2013,192,59,1791087,9329
3573300,2013,265,59,2702338,10198
4146700,2013,198,76,1757478,8876
3176300,2013,114,46,1102497,9671
3616300,2013,100,52,894277,8943
NULL,2013,NULL,NULL,NULL,
3883400,2013,96,46,923240,9617
4156400,2013,167,82,1617352,9685
3110700,2013,275,81,2565001,9327
3986300,2013,19,16,106619,5612
244900,2013,966,73,7904473,8183
3160300,2013,112,14,379205,3386
826300,2013,207,71,629071,3039
462100,2013,378,94,1139076,3013
111700,2013,3546,57,26163647,7378
111700,2013,366,72,2950352,8061
1235900,2013,0,0,0,
212100,2013,753,37,5416875,7194
314700,2013,1000,90,5550352,5550
1107400,2013,1847,63,7791679,4219
4188400,2013,0,0,0,
2622900,2013,0,0,0,
4081300,2013,0,0,0,
467300,2013,4217,77,28179969,6682
467313,2013,3459,67,25613944,7405
467317,2013,2962,74,20080233,6779
467305,2013,2303,67,16181542,7026
467301,2013,1268,70,8672391,6839
467302,2013,3634,71,24378207,6708
467309,2013,1861,74,13319187,7157
467303,2013,3206,72,21669427,6759
467304,2013,2184,73,14715187,6738
467306,2013,853,72,5731115,6719
190300,2013,1478,76,6805604,4605
111800,2013,696,4,3944915,5668
3110800,2013,NULL,NULL,NULL,
1226801,2013,0,0,0,
1226800,2013,0,0,0,
3067400,2013,0,0,0,
301400,2013,2763,79,21294108,7707
178600,2013,10222,61,75539815,7390
206100,2013,0,0,0,
3296300,2013,743,88,2669351,3593
3296301,2013,176,91,954800,5425
2494700,2013,126,97,355573,2822
2337400,2013,43,58,237052,5513
266900,2013,NULL,NULL,NULL,
1320800,2013,186,58,1064133,5721
3105200,2013,805,88,5755999,7150
660600,2013,378,93,2554692,6758
3440300,2013,847,81,7385505,8720
2331200,2013,11,20,46190,4199
3116900,2013,NULL,NULL,NULL,
3733300,2013,0,0,0,
3010700,2013,76,52,449281,5912
NULL,2013,NULL,NULL,NULL,
NULL,2013,0,0,0,
191700,2013,191,76,1243218,6509
267100,2013,991,49,6357250,6415
964500,2013,204,54,1316550,6454
270800,2013,797,32,4085744,5126
638900,2013,506,79,2532276,5004
4164900,2013,60,70,510963,8516
2518900,2013,24,22,77823,3243
146600,2013,3429,74,30673320,8945
111900,2013,0,0,0,
290800,2013,870,78,7047980,8101
460800,2013,594,12,3572474,6014
2242500,2013,148,66,1857517,12551
203600,2013,447,25,2348693,5254
530600,2013,455,11,1903058,4183
3730300,2013,3043,37,15816599,5198
2335701,2013,50,89,339000,6780
2335702,2013,12,80,94025,7835
2197500,2013,40,49,355800,8895
1157400,2013,606,80,4132232,6819
NULL,2013,NULL,NULL,NULL,
NULL,2013,NULL,NULL,NULL,
224000,2013,902,37,5196656,5761
3066600,2013,0,0,0,
212200,2013,1376,88,10612726,7713
396500,2013,1007,84,8591660,8532
2338200,2013,139,45,880308,6333
3758300,2013,0,0,0,
494900,2013,NULL,NULL,NULL,
354500,2013,6350,49,44671810,7035
2285700,2013,0,0,0,
4192800,2013,0,0,0,
3373300,2013,101,54,395364,3914
520400,2013,572,74,2072196,3623
2154400,2013,115,59,858384,7464
NULL,2013,NULL,NULL,NULL,
855800,2013,541,28,3802295,7028
3999300,2013,139,67,576813,4150
NULL,2013,4,19,13300,3325
2504900,2013,84,66,522945,6226
4170300,2013,156,53,587402,3765
NULL,2013,NULL,NULL,NULL,
NULL,2013,NULL,NULL,NULL,
2577700,2013,0,0,0,
739100,2013,46,44,286172,6221
2283806,2013,306,49,1392087,4549
2283800,2013,589,43,4176331,7091
2283805,2013,421,39,2784134,6613
2283801,2013,446,41,3016008,6762
2283804,2013,547,69,2435315,4452
2510300,2013,9,14,27324,3036
1191900,2013,45,76,210042,4668
212300,2013,1489,82,11966746,8037
2491100,2013,398,53,1794443,4509
2491102,2013,406,75,1388029,3419
3713300,2013,0,0,0,
1267000,2013,511,75,3559233,6965
644800,2013,80,62,607812,7598
239700,2013,1879,72,15781482,8399
2536700,2013,0,0,0,
NULL,2013,NULL,NULL,NULL,
4151700,2013,135,87,1026339,7603
NULL,2013,NULL,NULL,NULL,
195400,2013,1562,57,11088581,7099
NULL,2013,1,50,9500,9500
3804300,2013,145,55,1464280,10098
376900,2013,1263,9,7862477,6225
974300,2013,2842,45,10774004,3791
663900,2013,202,81,1584556,7844
499900,2013,781,32,4930964,6314
2343401,2013,166,51,1279888,7710
1202600,2013,178,62,1556903,8747
705000,2013,183,62,1672478,9139
2343400,2013,284,50,2301646,8104
291000,2013,1359,80,11271892,8294
994100,2013,978,61,4879729,4989
347900,2013,3428,65,24258801,7077
383500,2013,786,58,5230376,6654
233600,2013,2824,59,19750129,6994
1274300,2013,0,0,0,
342000,2013,2693,92,23408546,8692
1025600,2013,1172,56,8255405,7044
176700,2013,2184,59,16451953,7533
3018500,2013,334,75,1722438,5157
215100,2013,365,77,2553175,6995
3409600,2013,279,90,905000,3244
291100,2013,615,87,6891026,11205
368200,2013,414,60,2609793,6304
212400,2013,2152,51,15322831,7120
195500,2013,375,23,1293380,3449
473600,2013,2597,15,13109871,5048
4176300,2013,12,52,107169,8931
1183000,2013,235,59,1073785,4569
2242700,2013,126,2,725892,5761
739400,2013,3527,73,30191089,8560
750200,2013,2409,84,18304011,7598
212600,2013,1859,42,14392951,7742
NULL,2013,0,0,0,
2253900,2013,883,86,8089037,9161
216700,2013,981,39,5099291,5198
155400,2013,1136,56,7381979,6498
4181400,2013,20,6,86776,4339
NULL,2013,NULL,NULL,NULL,
1119200,2013,0,0,0,
1192200,2013,0,0,0,
794700,2013,1,0,5550,5550
NULL,2013,NULL,NULL,NULL,
190400,2013,449,73,3416930,7610
380800,2013,696,86,5376339,7725
NULL,2013,NULL,NULL,NULL,
233700,2013,453,76,2934654,6478
163700,2013,NULL,NULL,NULL,
4153800,2013,51,76,291505,5716
178700,2013,1426,79,11349232,7959
190500,2013,348,74,3082613,8858
905804,2013,NULL,NULL,NULL,
905803,2013,NULL,NULL,NULL,
348000,2013,4055,78,34203103,8435
905800,2013,2316,67,17360301,7496
3266300,2013,100,39,424851,4249
146700,2013,3266,94,25783235,7894
3076300,2013,375,67,3293371,8782
573305,2013,0,0,0,
3747300,2013,NULL,NULL,NULL,
NULL,2013,NULL,NULL,NULL,
4148200,2013,10,11,22018,2202
NULL,2013,NULL,NULL,NULL,
2323000,2013,NULL,NULL,NULL,
3101500,2013,0,0,0,
377000,2013,469,25,2466454,5259
199600,2013,1449,28,7846224,5415
112200,2013,3367,78,18412649,5469
101200,2013,597,49,4208578,7050
3668300,2013,58,64,477691,8236
3612300,2013,31,61,259642,8376
103000,2013,0,0,0,
